"","source","target"
"1","JUN","ARHGEF2"
"2","JUN","MOV10"
"3","JUN","PLK3"
"4","JUN","NECAP2"
"5","JUN","TNFRSF14"
"6","JUN","NAV1"
"7","JUN","GBAP1"
"8","JUN","PPOX"
"9","JUN","CROCCP3"
"10","JUN","TMEM200B"
"11","JUN","PERM1"
"12","JUN","TPM3"
"13","JUN","TBX15"
"14","JUN","TMEM201"
"15","JUN","SYNC"
"16","JUN","DCAF6"
"17","JUN","FABP3"
"18","JUN","C1orf21"
"19","JUN","MYOM3"
"20","JUN","DHCR24"
